щКЕЛЕМЕР; нАЫЕЕ ЙНКХВЕЯРБН; нАЫХИ ОПНЖЕМР; бЕЯ ЙНЩТТХЖХЕМРЮ 
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Adriatik.png;318;12.619;4
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Al'tair.png;72;2.85714;4096
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Avokado.png;102;4.04762;2048
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Biryuza.png;185;7.34127;256
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Dyushes.png;200;7.93651;64
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Ink.png;212;8.4127;32
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Inoplanetyanin.png;25;0.992063;16384
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Kaberne.png;184;7.30159;128
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Kedr.png;301;11.9444;8
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Kentavr.png;254;10.0794;16
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Koriandr.png;327;12.9762;2
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Narciss.png;154;6.11111;512
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Riv'era.png;132;5.2381;1024
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/1/Zombi.png;54;2.14286;8192
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/2/Amigasa.png;66;2.61905;3453.33
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/2/Bejsbolka.png;82;3.25397;58.7651
